conds,parset,model,ATM_ATR,BRAF,CASP3,CDC25A,CDC25B_C,CDK1,CHEK1,CHEK2,DSB_SSB,EGFR,MEK,MK2,Mitosis,Proliferation,RAS,TP53,p38,DNArepair
"kras$\Delta$, DNAdam, chek1i/0",25,model1100.bnet,0.824,1.0,0.876,0.002,0.002,0.002,,0.824,0.824,0.857,1.0,0.824,0.011,0.002,1.0,0.824,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",25,model1100.bnet,0.815,1.0,0.874,0.003,0.003,0.003,,0.815,0.815,0.853,1.0,0.815,0.012,0.003,1.0,0.815,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",25,model1100.bnet,0.824,1.0,0.881,0.001,0.001,0.001,,0.824,0.824,0.873,1.0,,0.004,0.001,1.0,0.824,1.0,
"wt, no DNAdam",26,model1100.bnet,,0.797,,0.054,0.054,0.054,,,,0.797,0.797,,0.054,0.054,0.797,,0.797,
"kras$\Delta$, no DNAdam, 0/0",26,model1100.bnet,,1.0,,0.061,0.061,0.061,,,,0.798,1.0,,0.061,0.061,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",26,model1100.bnet,0.826,1.0,0.878,0.0,0.0,0.0,0.826,0.826,0.826,0.862,1.0,0.826,0.007,0.0,1.0,0.826,1.0,
"kras$\Delta$, DNAdam, chek1i/0",26,model1100.bnet,0.812,1.0,0.882,0.002,0.002,0.002,,0.812,0.812,0.858,1.0,0.812,0.008,0.002,1.0,0.812,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",26,model1100.bnet,0.827,1.0,0.888,0.003,0.003,0.003,,0.827,0.827,0.842,1.0,0.827,0.012,0.003,1.0,0.827,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",26,model1100.bnet,0.814,1.0,0.874,0.002,0.002,0.002,,0.814,0.814,0.858,1.0,,0.009,0.002,1.0,0.814,1.0,
"wt, no DNAdam",27,model1100.bnet,,0.803,,0.199,0.199,0.199,,,,0.803,0.803,,0.198,0.198,0.803,,0.803,
"kras$\Delta$, no DNAdam, 0/0",27,model1100.bnet,,1.0,,0.19,0.19,0.19,,,,0.816,1.0,,0.19,0.19,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",27,model1100.bnet,0.828,1.0,0.885,0.006,0.006,0.006,0.828,0.828,0.828,0.862,1.0,0.828,0.006,0.006,1.0,0.828,1.0,
"kras$\Delta$, DNAdam, chek1i/0",27,model1100.bnet,0.832,1.0,0.876,0.005,0.005,0.005,,0.832,0.832,0.857,1.0,0.832,0.006,0.005,1.0,0.832,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",27,model1100.bnet,0.825,1.0,0.882,0.008,0.008,0.008,,0.825,0.825,0.868,1.0,0.825,0.01,0.008,1.0,0.825,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",27,model1100.bnet,0.815,1.0,0.874,0.01,0.01,0.01,,0.815,0.815,0.869,1.0,,0.01,0.01,1.0,0.815,1.0,
"wt, no DNAdam",28,model1100.bnet,,0.804,,0.196,0.196,0.196,,,,0.804,0.804,,0.195,0.195,0.804,,0.804,
"kras$\Delta$, no DNAdam, 0/0",28,model1100.bnet,,1.0,,0.193,0.193,0.193,,,,0.81,1.0,,0.193,0.193,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",28,model1100.bnet,0.802,1.0,0.869,0.01,0.01,0.01,0.802,0.802,0.802,0.861,1.0,0.802,0.011,0.01,1.0,0.802,1.0,
"kras$\Delta$, DNAdam, chek1i/0",28,model1100.bnet,0.817,1.0,0.876,0.012,0.012,0.012,,0.817,0.817,0.85,1.0,0.817,0.012,0.012,1.0,0.817,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",28,model1100.bnet,0.834,1.0,0.887,0.008,0.008,0.008,,0.834,0.834,0.868,1.0,0.834,0.008,0.008,1.0,0.834,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",28,model1100.bnet,0.822,1.0,0.878,0.006,0.006,0.006,,0.822,0.822,0.871,1.0,,0.008,0.006,1.0,0.822,1.0,
"wt, no DNAdam",29,model1100.bnet,,0.804,,0.197,0.197,0.197,,,,0.804,0.804,,0.197,0.196,0.804,,0.804,
"kras$\Delta$, no DNAdam, 0/0",29,model1100.bnet,,1.0,,0.196,0.196,0.196,,,,0.806,1.0,,0.196,0.196,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",29,model1100.bnet,0.824,1.0,0.876,0.006,0.006,0.006,0.824,0.824,0.824,0.864,1.0,0.824,0.008,0.007,1.0,0.824,1.0,
"kras$\Delta$, DNAdam, chek1i/0",29,model1100.bnet,0.804,1.0,0.865,0.007,0.007,0.007,,0.804,0.804,0.859,1.0,0.804,0.008,0.007,1.0,0.804,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",29,model1100.bnet,0.82,1.0,0.879,0.007,0.007,0.007,,0.82,0.82,0.848,1.0,0.82,0.008,0.007,1.0,0.82,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",29,model1100.bnet,0.82,1.0,0.883,0.01,0.01,0.01,,0.82,0.82,0.856,1.0,,0.01,0.01,1.0,0.82,1.0,
"wt, no DNAdam",30,model1100.bnet,,0.805,,0.198,0.198,0.198,,,,0.805,0.805,,0.198,0.198,0.805,,0.805,
"kras$\Delta$, no DNAdam, 0/0",30,model1100.bnet,,1.0,,0.184,0.184,0.184,,,,0.813,1.0,,0.184,0.184,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",30,model1100.bnet,0.829,1.0,0.885,0.007,0.007,0.007,0.829,0.829,0.829,0.859,1.0,0.829,0.01,0.007,1.0,0.829,1.0,
"kras$\Delta$, DNAdam, chek1i/0",30,model1100.bnet,0.818,1.0,0.873,0.007,0.007,0.007,,0.818,0.818,0.857,1.0,0.818,0.012,0.007,1.0,0.818,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",30,model1100.bnet,0.822,1.0,0.88,0.006,0.006,0.006,,0.822,0.822,0.86,1.0,0.822,0.01,0.006,1.0,0.822,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",30,model1100.bnet,0.814,1.0,0.868,0.006,0.006,0.006,,0.814,0.814,0.871,1.0,,0.009,0.006,1.0,0.814,1.0,
"wt, no DNAdam",31,model1100.bnet,,0.812,,0.194,0.194,0.194,,,,0.812,0.812,,0.194,0.194,0.812,,0.812,
"kras$\Delta$, no DNAdam, 0/0",31,model1100.bnet,,1.0,,0.208,0.208,0.208,,,,0.797,1.0,,0.208,0.208,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",31,model1100.bnet,0.815,1.0,0.872,0.008,0.008,0.008,0.815,0.815,0.815,0.855,1.0,0.815,0.009,0.008,1.0,0.815,1.0,
"kras$\Delta$, DNAdam, chek1i/0",31,model1100.bnet,0.832,1.0,0.88,0.007,0.007,0.007,,0.832,0.832,0.858,1.0,0.832,0.012,0.007,1.0,0.832,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",31,model1100.bnet,0.815,1.0,0.87,0.008,0.008,0.008,,0.815,0.815,0.863,1.0,0.815,0.014,0.008,1.0,0.815,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",31,model1100.bnet,0.801,1.0,0.864,0.011,0.011,0.011,,0.801,0.801,0.862,1.0,,0.019,0.011,1.0,0.801,1.0,
"wt, no DNAdam",32,model1100.bnet,,0.79,,0.21,0.21,0.21,,,,0.79,0.79,,0.21,0.21,0.79,,0.79,
"kras$\Delta$, no DNAdam, 0/0",32,model1100.bnet,,1.0,,0.21,0.21,0.21,,,,0.781,1.0,,0.21,0.21,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",32,model1100.bnet,0.81,1.0,0.869,0.006,0.006,0.006,0.81,0.81,0.81,0.864,1.0,0.81,0.01,0.006,1.0,0.81,1.0,
"kras$\Delta$, DNAdam, chek1i/0",32,model1100.bnet,0.821,1.0,0.882,0.008,0.008,0.008,,0.821,0.821,0.856,1.0,0.821,0.014,0.008,1.0,0.821,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",32,model1100.bnet,0.809,1.0,0.88,0.01,0.01,0.01,,0.809,0.809,0.869,1.0,0.809,0.013,0.01,1.0,0.809,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",32,model1100.bnet,0.816,1.0,0.876,0.012,0.012,0.012,,0.816,0.816,0.862,1.0,,0.017,0.012,1.0,0.816,1.0,
"wt, no DNAdam",33,model1100.bnet,,0.79,,0.214,0.214,0.214,,,,0.79,0.79,,0.214,0.214,0.79,,0.79,
"kras$\Delta$, no DNAdam, 0/0",33,model1100.bnet,,1.0,,0.198,0.198,0.198,,,,0.804,1.0,,0.198,0.198,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",33,model1100.bnet,0.808,1.0,0.862,0.008,0.008,0.008,0.808,0.808,0.808,0.867,1.0,0.808,0.012,0.008,1.0,0.808,1.0,
"kras$\Delta$, DNAdam, chek1i/0",33,model1100.bnet,0.826,1.0,0.881,0.006,0.006,0.006,,0.826,0.826,0.859,1.0,0.826,0.016,0.006,1.0,0.826,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",33,model1100.bnet,0.804,1.0,0.87,0.006,0.006,0.006,,0.804,0.804,0.86,1.0,0.804,0.014,0.006,1.0,0.804,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",33,model1100.bnet,0.816,1.0,0.874,0.01,0.01,0.01,,0.816,0.816,0.844,1.0,,0.019,0.01,1.0,0.816,1.0,
"wt, no DNAdam",34,model1100.bnet,,0.797,,0.198,0.198,0.198,,,,0.797,0.797,,0.198,0.198,0.797,,0.797,
"kras$\Delta$, no DNAdam, 0/0",34,model1100.bnet,,1.0,,0.185,0.185,0.185,,,,0.809,1.0,,0.185,0.185,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",34,model1100.bnet,0.799,1.0,0.86,0.007,0.007,0.007,0.799,0.799,0.799,0.869,1.0,0.799,0.012,0.007,1.0,0.799,1.0,
"kras$\Delta$, DNAdam, chek1i/0",34,model1100.bnet,0.813,1.0,0.868,0.007,0.007,0.007,,0.813,0.813,0.879,1.0,0.813,0.012,0.007,1.0,0.813,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",34,model1100.bnet,0.824,1.0,0.882,0.007,0.007,0.007,,0.824,0.824,0.863,1.0,0.824,0.014,0.007,1.0,0.824,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",34,model1100.bnet,0.819,1.0,0.875,0.009,0.009,0.009,,0.819,0.819,0.861,1.0,,0.016,0.009,1.0,0.819,1.0,
"wt, no DNAdam",35,model1100.bnet,,0.807,,0.198,0.198,0.198,,,,0.807,0.807,,0.198,0.198,0.807,,0.807,
"kras$\Delta$, no DNAdam, 0/0",35,model1100.bnet,,1.0,,0.2,0.2,0.2,,,,0.807,1.0,,0.2,0.2,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",35,model1100.bnet,0.818,1.0,0.88,0.003,0.003,0.003,0.818,0.818,0.818,0.866,1.0,0.818,0.007,0.003,1.0,0.818,1.0,
"kras$\Delta$, DNAdam, chek1i/0",35,model1100.bnet,0.815,1.0,0.886,0.002,0.002,0.002,,0.815,0.815,0.859,1.0,0.815,0.01,0.003,1.0,0.815,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",35,model1100.bnet,0.825,1.0,0.886,0.01,0.01,0.01,,0.825,0.825,0.869,1.0,0.825,0.017,0.01,1.0,0.825,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",35,model1100.bnet,0.831,1.0,0.885,0.009,0.009,0.009,,0.831,0.831,0.867,1.0,,0.017,0.009,1.0,0.831,1.0,
"wt, no DNAdam",36,model1100.bnet,,0.813,,0.184,0.184,0.184,,,,0.813,0.813,,0.184,0.184,0.813,,0.813,
"kras$\Delta$, no DNAdam, 0/0",36,model1100.bnet,,1.0,,0.192,0.192,0.192,,,,0.81,1.0,,0.192,0.192,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",36,model1100.bnet,0.816,1.0,0.881,0.007,0.007,0.007,0.816,0.816,0.816,0.867,1.0,0.816,0.012,0.007,1.0,0.816,1.0,
"kras$\Delta$, DNAdam, chek1i/0",36,model1100.bnet,0.818,1.0,0.882,0.012,0.012,0.012,,0.818,0.818,0.863,1.0,0.818,0.018,0.012,1.0,0.818,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",36,model1100.bnet,0.826,1.0,0.878,0.006,0.006,0.006,,0.826,0.826,0.861,1.0,0.826,0.014,0.006,1.0,0.826,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",36,model1100.bnet,0.832,1.0,0.89,0.013,0.013,0.013,,0.832,0.832,0.86,1.0,,0.017,0.013,1.0,0.832,1.0,
"wt, no DNAdam",37,model1100.bnet,,0.804,,0.2,0.2,0.2,,,,0.804,0.804,,0.2,0.2,0.804,,0.804,
"kras$\Delta$, no DNAdam, 0/0",37,model1100.bnet,,1.0,,0.22,0.22,0.22,,,,0.782,1.0,,0.22,0.22,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",37,model1100.bnet,0.826,1.0,0.882,0.01,0.01,0.01,0.826,0.826,0.826,0.85,1.0,0.826,0.015,0.01,1.0,0.826,1.0,
"kras$\Delta$, DNAdam, chek1i/0",37,model1100.bnet,0.827,1.0,0.89,0.006,0.006,0.006,,0.827,0.827,0.874,1.0,0.827,0.01,0.006,1.0,0.827,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",37,model1100.bnet,0.842,1.0,0.895,0.007,0.007,0.007,,0.842,0.842,0.872,1.0,0.842,0.011,0.007,1.0,0.842,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",37,model1100.bnet,0.815,1.0,0.873,0.014,0.014,0.014,,0.815,0.815,0.872,1.0,,0.022,0.014,1.0,0.815,1.0,
"wt, no DNAdam",38,model1100.bnet,,0.799,,0.2,0.2,0.2,,,,0.799,0.799,,0.2,0.2,0.799,,0.799,
"kras$\Delta$, no DNAdam, 0/0",38,model1100.bnet,,1.0,,0.188,0.188,0.188,,,,0.807,1.0,,0.188,0.188,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",38,model1100.bnet,0.822,1.0,0.881,0.005,0.005,0.005,0.822,0.822,0.822,0.851,1.0,0.822,0.007,0.005,1.0,0.822,1.0,
"kras$\Delta$, DNAdam, chek1i/0",38,model1100.bnet,0.827,1.0,0.867,0.01,0.01,0.01,,0.827,0.827,0.864,1.0,0.827,0.014,0.01,1.0,0.827,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",38,model1100.bnet,0.817,1.0,0.872,0.008,0.008,0.008,,0.817,0.817,0.866,1.0,0.817,0.013,0.009,1.0,0.817,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",38,model1100.bnet,0.832,1.0,0.892,0.012,0.012,0.012,,0.832,0.832,0.859,1.0,,0.018,0.012,1.0,0.832,1.0,
"wt, no DNAdam",39,model1100.bnet,,0.802,,0.205,0.205,0.205,,,,0.802,0.802,,0.205,0.205,0.802,,0.802,
"kras$\Delta$, no DNAdam, 0/0",39,model1100.bnet,,1.0,,0.188,0.188,0.188,,,,0.822,1.0,,0.188,0.188,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",39,model1100.bnet,0.82,1.0,0.876,0.006,0.006,0.006,0.82,0.82,0.82,0.866,1.0,0.82,0.026,0.007,1.0,0.82,1.0,
"kras$\Delta$, DNAdam, chek1i/0",39,model1100.bnet,0.836,1.0,0.896,0.006,0.006,0.006,,0.836,0.836,0.863,1.0,0.836,0.028,0.008,1.0,0.836,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",39,model1100.bnet,0.817,1.0,0.871,0.011,0.011,0.011,,0.817,0.817,0.857,1.0,0.817,0.034,0.012,1.0,0.817,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",39,model1100.bnet,0.83,1.0,0.882,0.007,0.007,0.007,,0.83,0.83,0.858,1.0,,0.036,0.007,1.0,0.83,1.0,
"wt, no DNAdam",40,model1100.bnet,,0.802,,0.196,0.196,0.196,,,,0.802,0.802,,0.196,0.196,0.802,,0.802,
"kras$\Delta$, no DNAdam, 0/0",40,model1100.bnet,,1.0,,0.198,0.198,0.198,,,,0.806,1.0,,0.198,0.198,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",40,model1100.bnet,0.805,1.0,0.862,0.007,0.007,0.007,0.805,0.805,0.805,0.853,1.0,0.805,0.031,0.008,1.0,0.805,1.0,
"kras$\Delta$, DNAdam, chek1i/0",40,model1100.bnet,0.817,1.0,0.867,0.01,0.01,0.01,,0.817,0.817,0.849,1.0,0.817,0.037,0.01,1.0,0.817,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",40,model1100.bnet,0.801,1.0,0.867,0.008,0.008,0.008,,0.801,0.801,0.867,1.0,0.801,0.034,0.01,1.0,0.801,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",40,model1100.bnet,0.822,1.0,0.874,0.01,0.01,0.01,,0.822,0.822,0.854,1.0,,0.035,0.01,1.0,0.822,1.0,
"wt, no DNAdam",41,model1100.bnet,,0.796,,0.203,0.203,0.203,,,,0.796,0.796,,0.203,0.203,0.796,,0.796,
"kras$\Delta$, no DNAdam, 0/0",41,model1100.bnet,,1.0,,0.207,0.207,0.207,,,,0.79,1.0,,0.207,0.207,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",41,model1100.bnet,0.822,1.0,0.876,0.005,0.005,0.005,0.822,0.822,0.822,0.86,1.0,0.822,0.028,0.006,1.0,0.822,1.0,
"kras$\Delta$, DNAdam, chek1i/0",41,model1100.bnet,0.815,1.0,0.872,0.01,0.01,0.01,,0.815,0.815,0.854,1.0,0.815,0.034,0.01,1.0,0.815,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",41,model1100.bnet,0.822,1.0,0.876,0.008,0.008,0.008,,0.822,0.822,0.87,1.0,0.822,0.034,0.01,1.0,0.822,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",41,model1100.bnet,0.836,1.0,0.896,0.012,0.012,0.012,,0.836,0.836,0.86,1.0,,0.041,0.012,1.0,0.836,1.0,
"wt, no DNAdam",42,model1100.bnet,,0.826,,0.18,0.18,0.18,,,,0.826,0.826,,0.18,0.18,0.826,,0.826,
"kras$\Delta$, no DNAdam, 0/0",42,model1100.bnet,,1.0,,0.194,0.194,0.194,,,,0.79,1.0,,0.194,0.194,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",42,model1100.bnet,0.828,1.0,0.876,0.009,0.009,0.009,0.828,0.828,0.828,0.854,1.0,0.828,0.034,0.009,1.0,0.828,1.0,
"kras$\Delta$, DNAdam, chek1i/0",42,model1100.bnet,0.8,1.0,0.863,0.011,0.011,0.011,,0.8,0.8,0.862,1.0,0.8,0.048,0.013,1.0,0.8,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",42,model1100.bnet,0.83,1.0,0.886,0.006,0.006,0.006,,0.83,0.83,0.874,1.0,0.83,0.039,0.007,1.0,0.83,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",42,model1100.bnet,0.816,1.0,0.879,0.009,0.009,0.009,,0.816,0.816,0.866,1.0,,0.048,0.01,1.0,0.816,1.0,
"wt, no DNAdam",43,model1100.bnet,,0.802,,0.2,0.2,0.2,,,,0.802,0.802,,0.2,0.2,0.802,,0.802,
"kras$\Delta$, no DNAdam, 0/0",43,model1100.bnet,,1.0,,0.201,0.201,0.201,,,,0.794,1.0,,0.201,0.201,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",43,model1100.bnet,0.82,1.0,0.875,0.005,0.005,0.005,0.82,0.82,0.82,0.871,1.0,0.82,0.029,0.005,1.0,0.82,1.0,
"kras$\Delta$, DNAdam, chek1i/0",43,model1100.bnet,0.838,1.0,0.884,0.008,0.008,0.008,,0.838,0.838,0.846,1.0,0.838,0.046,0.009,1.0,0.838,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",43,model1100.bnet,0.831,1.0,0.886,0.008,0.008,0.008,,0.831,0.831,0.87,1.0,0.831,0.042,0.01,1.0,0.831,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",43,model1100.bnet,0.816,1.0,0.874,0.01,0.01,0.01,,0.816,0.816,0.862,1.0,,0.044,0.01,1.0,0.816,1.0,
"wt, no DNAdam",44,model1100.bnet,,0.806,,0.176,0.176,0.176,,,,0.806,0.806,,0.176,0.176,0.806,,0.806,
"kras$\Delta$, no DNAdam, 0/0",44,model1100.bnet,,1.0,,0.196,0.196,0.196,,,,0.806,1.0,,0.196,0.196,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",44,model1100.bnet,0.819,1.0,0.881,0.005,0.005,0.005,0.819,0.819,0.819,0.864,1.0,0.819,0.03,0.006,1.0,0.819,1.0,
"kras$\Delta$, DNAdam, chek1i/0",44,model1100.bnet,0.826,1.0,0.882,0.006,0.006,0.006,,0.826,0.826,0.858,1.0,0.826,0.041,0.007,1.0,0.826,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",44,model1100.bnet,0.831,1.0,0.887,0.006,0.006,0.006,,0.831,0.831,0.866,1.0,0.831,0.034,0.007,1.0,0.831,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",44,model1100.bnet,0.832,1.0,0.89,0.008,0.008,0.008,,0.832,0.832,0.866,1.0,,0.046,0.008,1.0,0.832,1.0,
"wt, no DNAdam",45,model1100.bnet,,0.8,,0.198,0.198,0.198,,,,0.8,0.8,,0.198,0.198,0.8,,0.8,
"kras$\Delta$, no DNAdam, 0/0",45,model1100.bnet,,1.0,,0.186,0.186,0.186,,,,0.809,1.0,,0.186,0.186,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",45,model1100.bnet,0.82,1.0,0.883,0.006,0.006,0.006,0.82,0.82,0.82,0.864,1.0,0.82,0.011,0.006,1.0,0.82,1.0,
"kras$\Delta$, DNAdam, chek1i/0",45,model1100.bnet,0.808,1.0,0.87,0.01,0.01,0.01,,0.808,0.808,0.857,1.0,0.808,0.017,0.01,1.0,0.808,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",45,model1100.bnet,0.83,1.0,0.879,0.008,0.008,0.008,,0.83,0.83,0.866,1.0,0.83,0.018,0.01,1.0,0.83,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",45,model1100.bnet,0.805,1.0,0.864,0.02,0.02,0.02,,0.805,0.805,0.852,1.0,,0.032,0.02,1.0,0.805,1.0,
"wt, no DNAdam",46,model1100.bnet,,0.822,,0.179,0.179,0.179,,,,0.822,0.822,,0.179,0.179,0.822,,0.822,
"kras$\Delta$, no DNAdam, 0/0",46,model1100.bnet,,1.0,,0.183,0.183,0.183,,,,0.818,1.0,,0.183,0.183,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",46,model1100.bnet,0.812,1.0,0.876,0.007,0.007,0.007,0.812,0.812,0.812,0.873,1.0,0.812,0.013,0.007,1.0,0.812,1.0,
"kras$\Delta$, DNAdam, chek1i/0",46,model1100.bnet,0.818,1.0,0.882,0.012,0.012,0.012,,0.818,0.818,0.867,1.0,0.818,0.018,0.012,1.0,0.818,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",46,model1100.bnet,0.832,1.0,0.886,0.01,0.01,0.01,,0.832,0.832,0.861,1.0,0.832,0.017,0.011,1.0,0.832,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",46,model1100.bnet,0.826,1.0,0.882,0.016,0.016,0.016,,0.826,0.826,0.866,1.0,,0.022,0.016,1.0,0.826,1.0,
"wt, no DNAdam",47,model1100.bnet,,0.804,,0.2,0.2,0.2,,,,0.804,0.804,,0.2,0.2,0.804,,0.804,
"kras$\Delta$, no DNAdam, 0/0",47,model1100.bnet,,1.0,,0.19,0.19,0.19,,,,0.804,1.0,,0.19,0.19,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",47,model1100.bnet,0.812,1.0,0.872,0.008,0.008,0.008,0.812,0.812,0.812,0.861,1.0,0.812,0.016,0.008,1.0,0.812,1.0,
"kras$\Delta$, DNAdam, chek1i/0",47,model1100.bnet,0.818,1.0,0.884,0.007,0.007,0.007,,0.818,0.818,0.86,1.0,0.818,0.014,0.008,1.0,0.818,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",47,model1100.bnet,0.795,1.0,0.858,0.014,0.014,0.014,,0.795,0.795,0.855,1.0,0.795,0.027,0.014,1.0,0.795,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",47,model1100.bnet,0.817,1.0,0.866,0.012,0.012,0.012,,0.817,0.817,0.864,1.0,,0.024,0.012,1.0,0.817,1.0,
"wt, no DNAdam",48,model1100.bnet,,0.792,,0.204,0.204,0.204,,,,0.792,0.792,,0.204,0.204,0.792,,0.792,
"kras$\Delta$, no DNAdam, 0/0",48,model1100.bnet,,1.0,,0.175,0.175,0.175,,,,0.818,1.0,,0.175,0.175,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",48,model1100.bnet,0.818,1.0,0.874,0.007,0.007,0.007,0.818,0.818,0.818,0.853,1.0,0.818,0.044,0.01,1.0,0.818,1.0,
"kras$\Delta$, DNAdam, chek1i/0",48,model1100.bnet,0.83,1.0,0.88,0.01,0.01,0.01,,0.83,0.83,0.878,1.0,0.83,0.05,0.012,1.0,0.83,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",48,model1100.bnet,0.83,1.0,0.881,0.008,0.008,0.008,,0.83,0.83,0.864,1.0,0.83,0.046,0.008,1.0,0.83,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",48,model1100.bnet,0.817,1.0,0.878,0.014,0.014,0.014,,0.817,0.817,0.857,1.0,,0.046,0.014,1.0,0.817,1.0,
"wt, no DNAdam",49,model1100.bnet,,0.806,,0.197,0.197,0.197,,,,0.806,0.806,,0.197,0.197,0.806,,0.806,
"kras$\Delta$, no DNAdam, 0/0",49,model1100.bnet,,1.0,,0.188,0.188,0.188,,,,0.814,1.0,,0.188,0.188,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",49,model1100.bnet,0.824,1.0,0.876,0.006,0.006,0.006,0.824,0.824,0.824,0.871,1.0,0.824,0.032,0.006,1.0,0.824,1.0,
"kras$\Delta$, DNAdam, chek1i/0",49,model1100.bnet,0.811,1.0,0.869,0.008,0.008,0.008,,0.811,0.811,0.869,1.0,0.811,0.048,0.01,1.0,0.811,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",49,model1100.bnet,0.832,1.0,0.888,0.01,0.01,0.01,,0.832,0.832,0.857,1.0,0.832,0.047,0.012,1.0,0.832,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",49,model1100.bnet,0.812,1.0,0.872,0.011,0.011,0.011,,0.812,0.812,0.861,1.0,,0.047,0.012,1.0,0.812,1.0,
"wt, no DNAdam",50,model1100.bnet,,0.813,,0.197,0.197,0.197,,,,0.813,0.813,,0.197,0.197,0.813,,0.813,
"kras$\Delta$, no DNAdam, 0/0",50,model1100.bnet,,1.0,,0.181,0.181,0.181,,,,0.811,1.0,,0.181,0.181,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",50,model1100.bnet,0.816,1.0,0.882,0.006,0.006,0.006,0.816,0.816,0.816,0.862,1.0,0.816,0.03,0.006,1.0,0.816,1.0,
"kras$\Delta$, DNAdam, chek1i/0",50,model1100.bnet,0.826,1.0,0.884,0.005,0.005,0.005,,0.826,0.826,0.871,1.0,0.826,0.041,0.007,1.0,0.826,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",50,model1100.bnet,0.829,1.0,0.879,0.006,0.006,0.006,,0.829,0.829,0.859,1.0,0.829,0.04,0.008,1.0,0.829,1.0,
