conds,parset,model,ATM_ATR,BRAF,CASP3,CDC25A,CDC25B_C,CDK1,CHEK1,CHEK2,DSB_SSB,EGFR,MEK,MK2,Mitosis,Proliferation,RAS,TP53,p38
"wt, no DNAdam",19,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,,0.8105,,0.026,0.026,0.026,0.8105,,,0.8105,0.8105,,0.028999999999999998,0.028999999999999998,0.8105,,0.8105
"kras$\Delta$, no DNAdam, 0/0",19,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,,1.0,,,,,1.0,,,0.822,1.0,,0.0185,0.0185,1.0,,1.0
"kras$\Delta$, DNAdam, 0/0",19,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,0.002,1.0,0.002,,,,1.0,0.002,0.002,0.868,1.0,0.002,0.0035,0.0015,1.0,0.002,1.0
"kras$\Delta$, DNAdam, chek1i/0",19,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,0.001,1.0,0.001,0.003,0.003,0.003,,0.001,0.001,0.864,1.0,0.001,0.004,0.003,1.0,0.001,1.0
"kras$\Delta$, DNAdam, 0/mk2i",19,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,0.001,1.0,0.001,,,,1.0,0.001,0.001,0.8645,1.0,,0.0015,0.0005,1.0,0.001,1.0
"kras$\Delta$, DNAdam, chek1i/mk2i",19,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,0.003,1.0,0.003,0.0035,0.0035,0.0035,,0.003,0.003,0.862,1.0,,0.007000000000000001,0.004,1.0,0.003,1.0
"wt, no DNAdam",20,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,,0.806,,0.039,0.039,0.039,0.806,,,0.806,0.806,,0.041,0.041,0.806,,0.806
"kras$\Delta$, no DNAdam, 0/0",20,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,,1.0,,,,,1.0,,,0.8055,1.0,,0.024,0.024,1.0,,1.0
"kras$\Delta$, DNAdam, 0/0",20,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,0.001,0.9999999999999999,0.001,,,,0.9999999999999999,0.001,0.001,0.8574999999999999,0.9999999999999999,0.001,0.004,0.003,0.9999999999999999,0.001,0.9999999999999999
"kras$\Delta$, DNAdam, chek1i/0",20,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,0.001,1.0,0.001,0.003,0.003,0.003,,0.001,0.001,0.8595,1.0,0.001,0.004,0.003,1.0,0.001,1.0
"kras$\Delta$, DNAdam, 0/mk2i",20,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,0.001,1.0,0.001,,,,1.0,0.001,0.001,0.87,1.0,,0.0015,0.0005,1.0,0.001,1.0
"kras$\Delta$, DNAdam, chek1i/mk2i",20,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,0.002,0.9999999999999999,0.0025,0.0045000000000000005,0.0045000000000000005,0.0045000000000000005,,0.002,0.002,0.8594999999999999,0.9999999999999999,,0.007,0.0045000000000000005,0.9999999999999999,0.002,0.9999999999999999
"wt, no DNAdam",21,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,,0.7979999999999999,,0.0335,0.0335,0.0335,0.7979999999999999,,,0.7979999999999999,0.7979999999999999,,0.041,0.041,0.7979999999999999,,0.7979999999999999
"kras$\Delta$, no DNAdam, 0/0",21,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,,1.0,,,,,1.0,,,0.8115,1.0,,0.048,0.048,1.0,,1.0
"kras$\Delta$, DNAdam, 0/0",21,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,0.001,1.0,0.0015,,,,1.0,0.001,0.001,0.8525,1.0,0.001,0.0055,0.004,1.0,0.001,1.0
"kras$\Delta$, DNAdam, chek1i/0",21,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,0.0025,0.9999999999999999,0.003,0.0015,0.0015,0.0015,,0.0025,0.0025,0.8365,0.9999999999999999,0.0025,0.006500000000000001,0.0035,0.9999999999999999,0.0025,0.9999999999999999
"kras$\Delta$, DNAdam, 0/mk2i",21,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,0.0025,1.0,0.0025,,,,1.0,0.0025,0.0025,0.8694999999999999,1.0,,0.006500000000000001,0.004,1.0,0.0025,1.0
"kras$\Delta$, DNAdam, chek1i/mk2i",21,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,0.004,0.9999999999999999,0.004,0.0025,0.0025,0.0025,,0.004,0.004,0.865,0.9999999999999999,,0.009500000000000001,0.0055,0.9999999999999999,0.004,0.9999999999999999
"wt, no DNAdam",22,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,,0.8049999999999999,,0.0285,0.0285,0.0285,0.8049999999999999,,,0.8049999999999999,0.8049999999999999,,0.042,0.042,0.8049999999999999,,0.8049999999999999
"kras$\Delta$, no DNAdam, 0/0",22,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,,1.0,,,,,1.0,,,0.803,1.0,,0.044500000000000005,0.044500000000000005,1.0,,1.0
"kras$\Delta$, DNAdam, 0/0",22,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,0.005,0.9999999999999999,0.005,,,,0.9999999999999999,0.005,0.005,0.8584999999999999,0.9999999999999999,0.005,0.008,0.003,0.9999999999999999,0.005,0.9999999999999999
"kras$\Delta$, DNAdam, chek1i/0",22,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,0.004,1.0,0.0045000000000000005,0.007,0.007,0.007,,0.004,0.004,0.859,1.0,0.004,0.0115,0.007,1.0,0.004,1.0
"kras$\Delta$, DNAdam, 0/mk2i",22,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,0.0055,1.0,0.0055,,,,1.0,0.0055,0.0055,0.861,1.0,,0.0065,0.001,1.0,0.0055,1.0
"kras$\Delta$, DNAdam, chek1i/mk2i",22,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,0.0035,1.0,0.004,0.0015,0.0015,0.0015,,0.0035,0.0035,0.8654999999999999,1.0,,0.0055,0.0015,1.0,0.0035,1.0
"wt, no DNAdam",23,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,,0.8015,,0.031,0.031,0.031,0.8015,,,0.8015,0.8015,,0.041,0.041,0.8015,,0.8015
"kras$\Delta$, no DNAdam, 0/0",23,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,,1.0,,,,,1.0,,,0.8009999999999999,1.0,,0.049,0.049,1.0,,1.0
"kras$\Delta$, DNAdam, 0/0",23,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,0.006500000000000001,0.9999999999999998,0.006500000000000001,,,,0.9999999999999998,0.006500000000000001,0.006500000000000001,0.8639999999999999,0.9999999999999998,0.006500000000000001,0.0085,0.002,0.9999999999999998,0.006500000000000001,0.9999999999999998
"kras$\Delta$, DNAdam, chek1i/0",23,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,0.008,1.0,0.0085,0.001,0.001,0.001,,0.008,0.008,0.858,1.0,0.008,0.009500000000000001,0.001,1.0,0.008,1.0
"kras$\Delta$, DNAdam, 0/mk2i",23,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,0.0045,1.0,0.004999999999999999,,,,1.0,0.0045,0.0045,0.874,1.0,,0.0075,0.0025,1.0,0.0045,1.0
"kras$\Delta$, DNAdam, chek1i/mk2i",23,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,0.006999999999999999,1.0,0.006999999999999999,0.003,0.003,0.003,,0.006999999999999999,0.006999999999999999,0.8565,1.0,,0.01,0.003,1.0,0.006999999999999999,1.0
"wt, no DNAdam",24,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,,0.8035,,0.0365,0.0365,0.0365,0.8035,,,0.8035,0.8035,,0.0475,0.0475,0.8035,,0.8035
"kras$\Delta$, no DNAdam, 0/0",24,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,,1.0,,,,,1.0,,,0.8115,1.0,,0.0455,0.0455,1.0,,1.0
"kras$\Delta$, DNAdam, 0/0",24,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,0.004,1.0,0.004,,,,1.0,0.004,0.004,0.8604999999999999,1.0,0.004,0.0075,0.0035,1.0,0.004,1.0
"kras$\Delta$, DNAdam, chek1i/0",24,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,0.0035,1.0,0.0035,0.005,0.005,0.005,,0.0035,0.0035,0.854,1.0,0.0035,0.011,0.0075,1.0,0.0035,1.0
"kras$\Delta$, DNAdam, 0/mk2i",24,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,0.0035,1.0,0.0035,,,,1.0,0.0035,0.0035,0.849,1.0,,0.007,0.0035,1.0,0.0035,1.0
"kras$\Delta$, DNAdam, chek1i/mk2i",24,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,0.004,0.9999999999999999,0.004,0.0045,0.0045,0.0045,,0.004,0.004,0.8564999999999999,0.9999999999999999,,0.0125,0.008499999999999999,0.9999999999999999,0.004,0.9999999999999999
"wt, no DNAdam",25,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,,0.8025,,0.0325,0.0325,0.0325,0.8025,,,0.8025,0.8025,,0.045,0.045,0.8025,,0.8025
"kras$\Delta$, no DNAdam, 0/0",25,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,,1.0,,,,,1.0,,,0.8035,1.0,,0.0405,0.0405,1.0,,1.0
"kras$\Delta$, DNAdam, 0/0",25,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,0.0055,1.0,0.0055,,,,1.0,0.0055,0.0055,0.85,1.0,0.0055,0.0075,0.002,1.0,0.0055,1.0
"kras$\Delta$, DNAdam, chek1i/0",25,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,0.0075,1.0,0.008,0.0015,0.0015,0.0015,,0.0075,0.0075,0.8529999999999999,1.0,0.0075,0.0095,0.0015,1.0,0.0075,1.0
"kras$\Delta$, DNAdam, 0/mk2i",25,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,0.0035,0.9999999999999999,0.004,,,,0.9999999999999999,0.0035,0.0035,0.8684999999999999,0.9999999999999999,,0.0075,0.0035,0.9999999999999999,0.0035,0.9999999999999999
"kras$\Delta$, DNAdam, chek1i/mk2i",25,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,0.0085,0.9999999999999999,0.009000000000000001,0.002,0.002,0.002,,0.0085,0.0085,0.854,0.9999999999999999,,0.012,0.003,0.9999999999999999,0.0085,0.9999999999999999
"wt, no DNAdam",26,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,,0.8115,,0.035,0.035,0.035,0.8115,,,0.8115,0.8115,,0.05,0.05,0.8115,,0.8115
"kras$\Delta$, no DNAdam, 0/0",26,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,,1.0,,,,,1.0,,,0.8045,1.0,,0.0435,0.0435,1.0,,1.0
"kras$\Delta$, DNAdam, 0/0",26,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,0.004999999999999999,1.0,0.004999999999999999,,,,1.0,0.004999999999999999,0.004999999999999999,0.872,1.0,0.004999999999999999,0.0055,0.0005,1.0,0.004999999999999999,1.0
"kras$\Delta$, DNAdam, chek1i/0",26,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,0.005,1.0,0.0055,0.001,0.001,0.001,,0.005,0.005,0.8599999999999999,1.0,0.005,0.006500000000000001,0.001,1.0,0.005,1.0
"kras$\Delta$, DNAdam, 0/mk2i",26,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,0.004,1.0,0.004,,,,1.0,0.004,0.004,0.8694999999999999,1.0,,0.005,0.001,1.0,0.004,1.0
"kras$\Delta$, DNAdam, chek1i/mk2i",26,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,0.0135,1.0,0.0135,0.0025,0.0025,0.0025,,0.0135,0.0135,0.839,1.0,,0.016,0.0025,1.0,0.0135,1.0
"wt, no DNAdam",27,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,,0.8005,,0.1315,0.1315,0.1315,0.8005,,,0.8005,0.8005,,0.1375,0.1375,0.8005,,0.8005
"kras$\Delta$, no DNAdam, 0/0",27,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,,1.0,,,,,1.0,,,0.8135,1.0,,0.026500000000000003,0.026500000000000003,1.0,,1.0
"kras$\Delta$, DNAdam, 0/0",27,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,,1.0,,,,,1.0,,,0.854,1.0,,0.0015,0.0015,1.0,,1.0
"kras$\Delta$, DNAdam, chek1i/0",27,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,,1.0,0.0005,0.0095,0.0095,0.0095,,,,0.8554999999999999,1.0,,0.010499999999999999,0.01,1.0,,1.0
"kras$\Delta$, DNAdam, 0/mk2i",27,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,0.002,1.0,0.002,,,,1.0,0.002,0.002,0.8605,1.0,,0.004,0.002,1.0,0.002,1.0
"kras$\Delta$, DNAdam, chek1i/mk2i",27,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,0.0005,0.9999999999999999,0.0005,0.0215,0.0215,0.0215,,0.0005,0.0005,0.852,0.9999999999999999,,0.022,0.0215,0.9999999999999999,0.0005,0.9999999999999999
"wt, no DNAdam",28,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,,0.7845,,0.144,0.144,0.144,0.7845,,,0.7845,0.7845,,0.145,0.145,0.7845,,0.7845
"kras$\Delta$, no DNAdam, 0/0",28,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,,1.0,,,,,1.0,,,0.8075,1.0,,0.0245,0.0245,1.0,,1.0
"kras$\Delta$, DNAdam, 0/0",28,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,0.0015,1.0,0.0015,,,,1.0,0.0015,0.0015,0.8604999999999999,1.0,0.0015,0.0025,0.001,1.0,0.0015,1.0
"kras$\Delta$, DNAdam, chek1i/0",28,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,0.001,1.0,0.001,0.013000000000000001,0.013000000000000001,0.013000000000000001,,0.001,0.001,0.848,1.0,0.001,0.014,0.013000000000000001,1.0,0.001,1.0
"kras$\Delta$, DNAdam, 0/mk2i",28,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,0.0015,1.0,0.0015,,,,1.0,0.0015,0.0015,0.863,1.0,,0.002,0.0005,1.0,0.0015,1.0
"kras$\Delta$, DNAdam, chek1i/mk2i",28,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,0.002,1.0,0.0025,0.019000000000000003,0.019000000000000003,0.019000000000000003,,0.002,0.002,0.851,1.0,,0.0215,0.019000000000000003,1.0,0.002,1.0
"wt, no DNAdam",29,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,,0.7965,,0.1265,0.1265,0.1265,0.7965,,,0.7965,0.7965,,0.131,0.131,0.7965,,0.7965
"kras$\Delta$, no DNAdam, 0/0",29,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,,1.0,,,,,1.0,,,0.8075,1.0,,0.029,0.029,1.0,,1.0
"kras$\Delta$, DNAdam, 0/0",29,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,,1.0,,,,,1.0,,,0.853,1.0,,0.001,0.001,1.0,,1.0
"kras$\Delta$, DNAdam, chek1i/0",29,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,0.0005,1.0,0.001,0.014,0.014,0.014,,0.0005,0.0005,0.853,1.0,0.0005,0.015,0.014,1.0,0.0005,1.0
"kras$\Delta$, DNAdam, 0/mk2i",29,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,0.001,1.0,0.001,,,,1.0,0.001,0.001,0.863,1.0,,0.002,0.001,1.0,0.001,1.0
"kras$\Delta$, DNAdam, chek1i/mk2i",29,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,,1.0,,0.018500000000000003,0.018500000000000003,0.018500000000000003,,,,0.8564999999999999,1.0,,0.018500000000000003,0.018500000000000003,1.0,,1.0
"wt, no DNAdam",30,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,,0.81,,0.1145,0.1145,0.1145,0.81,,,0.81,0.81,,0.12300000000000001,0.12300000000000001,0.81,,0.81
"kras$\Delta$, no DNAdam, 0/0",30,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,,1.0,,,,,1.0,,,0.7985,1.0,,0.0645,0.0645,1.0,,1.0
"kras$\Delta$, DNAdam, 0/0",30,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,0.002,0.9999999999999999,0.002,,,,0.9999999999999999,0.002,0.002,0.8634999999999999,0.9999999999999999,0.002,0.006500000000000001,0.0045000000000000005,0.9999999999999999,0.002,0.9999999999999999
"kras$\Delta$, DNAdam, chek1i/0",30,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,0.003,1.0,0.003,0.012,0.012,0.012,,0.003,0.003,0.855,1.0,0.003,0.018,0.015,1.0,0.003,1.0
"kras$\Delta$, DNAdam, 0/mk2i",30,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,0.001,1.0,0.001,,,,1.0,0.001,0.001,0.8635,1.0,,0.004,0.003,1.0,0.001,1.0
"kras$\Delta$, DNAdam, chek1i/mk2i",30,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,0.001,1.0,0.001,0.014,0.014,0.014,,0.001,0.001,0.8645,1.0,,0.015000000000000001,0.014,1.0,0.001,1.0
"wt, no DNAdam",31,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,,0.805,,0.117,0.117,0.117,0.805,,,0.805,0.805,,0.1295,0.1295,0.805,,0.805
"kras$\Delta$, no DNAdam, 0/0",31,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,,1.0,,,,,1.0,,,0.8175,1.0,,0.0675,0.0675,1.0,,1.0
"kras$\Delta$, DNAdam, 0/0",31,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,0.0035,0.9999999999999999,0.0035,,,,0.9999999999999999,0.0035,0.0035,0.862,0.9999999999999999,0.0035,0.0085,0.005,0.9999999999999999,0.0035,0.9999999999999999
"kras$\Delta$, DNAdam, chek1i/0",31,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,0.0035,0.9999999999999999,0.0035,0.009,0.009,0.009,,0.0035,0.0035,0.8659999999999999,0.9999999999999999,0.0035,0.012499999999999999,0.009,0.9999999999999999,0.0035,0.9999999999999999
"kras$\Delta$, DNAdam, 0/mk2i",31,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,0.0045,1.0,0.0045,,,,1.0,0.0045,0.0045,0.8595,1.0,,0.0075,0.003,1.0,0.0045,1.0
"kras$\Delta$, DNAdam, chek1i/mk2i",31,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,0.003,1.0,0.004,0.0165,0.0165,0.0165,,0.003,0.003,0.8654999999999999,1.0,,0.0205,0.0165,1.0,0.003,1.0
"wt, no DNAdam",32,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,,0.7915,,0.133,0.133,0.133,0.7915,,,0.7915,0.7915,,0.14250000000000002,0.14250000000000002,0.7915,,0.7915
"kras$\Delta$, no DNAdam, 0/0",32,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,,1.0,,,,,1.0,,,0.8005,1.0,,0.0625,0.0625,1.0,,1.0
"kras$\Delta$, DNAdam, 0/0",32,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,0.004,1.0,0.004,,,,1.0,0.004,0.004,0.8534999999999999,1.0,0.004,0.006500000000000001,0.0025,1.0,0.004,1.0
"kras$\Delta$, DNAdam, chek1i/0",32,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,0.0075,1.0,0.0085,0.0125,0.0125,0.0125,,0.0075,0.0075,0.861,1.0,0.0075,0.021,0.0125,1.0,0.0075,1.0
"kras$\Delta$, DNAdam, 0/mk2i",32,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,0.002,1.0,0.002,,,,1.0,0.002,0.002,0.863,1.0,,0.004,0.002,1.0,0.002,1.0
"kras$\Delta$, DNAdam, chek1i/mk2i",32,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,0.0055,0.9999999999999998,0.0055,0.013000000000000001,0.013000000000000001,0.013000000000000001,,0.0055,0.0055,0.8549999999999999,0.9999999999999998,,0.018500000000000003,0.013000000000000001,0.9999999999999998,0.0055,0.9999999999999998
"wt, no DNAdam",33,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,,0.813,,0.124,0.124,0.124,0.813,,,0.813,0.813,,0.138,0.138,0.813,,0.813
"kras$\Delta$, no DNAdam, 0/0",33,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,,1.0,,,,,1.0,,,0.7935,1.0,,0.07500000000000001,0.07500000000000001,1.0,,1.0
"kras$\Delta$, DNAdam, 0/0",33,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,0.0025,0.9999999999999999,0.0025,,,,0.9999999999999999,0.0025,0.0025,0.848,0.9999999999999999,0.0025,0.011,0.0085,0.9999999999999999,0.0025,0.9999999999999999
"kras$\Delta$, DNAdam, chek1i/0",33,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,0.002,0.9999999999999998,0.003,0.0165,0.0165,0.0165,,0.002,0.002,0.8504999999999998,0.9999999999999998,0.002,0.0225,0.0195,0.9999999999999998,0.002,0.9999999999999998
"kras$\Delta$, DNAdam, 0/mk2i",33,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,0.0025,1.0,0.0025,,,,1.0,0.0025,0.0025,0.8384999999999999,1.0,,0.010499999999999999,0.008,1.0,0.0025,1.0
"kras$\Delta$, DNAdam, chek1i/mk2i",33,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,0.004,1.0,0.0045000000000000005,0.012,0.012,0.012,,0.004,0.004,0.849,1.0,,0.017,0.0125,1.0,0.004,1.0
"wt, no DNAdam",34,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,,0.799,,0.13,0.13,0.13,0.799,,,0.799,0.799,,0.14500000000000002,0.14500000000000002,0.799,,0.799
"kras$\Delta$, no DNAdam, 0/0",34,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,,1.0,,,,,1.0,,,0.8045,1.0,,0.06999999999999999,0.06999999999999999,1.0,,1.0
"kras$\Delta$, DNAdam, 0/0",34,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,0.0055,0.9999999999999999,0.0055,,,,0.9999999999999999,0.0055,0.0055,0.8564999999999999,0.9999999999999999,0.0055,0.011,0.0055,0.9999999999999999,0.0055,0.9999999999999999
"kras$\Delta$, DNAdam, chek1i/0",34,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,0.0055,0.9999999999999999,0.005999999999999999,0.012,0.012,0.012,,0.0055,0.0055,0.8574999999999999,0.9999999999999999,0.0055,0.018,0.012,0.9999999999999999,0.0055,0.9999999999999999
"kras$\Delta$, DNAdam, 0/mk2i",34,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,0.006,1.0,0.006,,,,1.0,0.006,0.006,0.859,1.0,,0.009000000000000001,0.003,1.0,0.006,1.0
"kras$\Delta$, DNAdam, chek1i/mk2i",34,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,0.0075,1.0,0.008,0.008,0.008,0.008,,0.0075,0.0075,0.8594999999999999,1.0,,0.016,0.008,1.0,0.0075,1.0
"wt, no DNAdam",35,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,,0.8075,,0.118,0.118,0.118,0.8075,,,0.8075,0.8075,,0.131,0.131,0.8075,,0.8075
"kras$\Delta$, no DNAdam, 0/0",35,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,,1.0,,,,,1.0,,,0.82,1.0,,0.075,0.075,1.0,,1.0
"kras$\Delta$, DNAdam, 0/0",35,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,0.0055,0.9999999999999999,0.006,,,,0.9999999999999999,0.0055,0.0055,0.862,0.9999999999999999,0.0055,0.009000000000000001,0.003,0.9999999999999999,0.0055,0.9999999999999999
"kras$\Delta$, DNAdam, chek1i/0",35,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,0.0055,0.9999999999999999,0.0055,0.01,0.01,0.01,,0.0055,0.0055,0.8664999999999999,0.9999999999999999,0.0055,0.016,0.010499999999999999,0.9999999999999999,0.0055,0.9999999999999999
"kras$\Delta$, DNAdam, 0/mk2i",35,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,0.0055,1.0,0.0055,,,,1.0,0.0055,0.0055,0.867,1.0,,0.008,0.0025,1.0,0.0055,1.0
"kras$\Delta$, DNAdam, chek1i/mk2i",35,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,0.012,1.0,0.0125,0.0115,0.0115,0.0115,,0.012,0.012,0.8575,1.0,,0.024,0.0115,1.0,0.012,1.0
"wt, no DNAdam",36,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,,0.8089999999999999,,0.124,0.124,0.124,0.8089999999999999,,,0.8089999999999999,0.8089999999999999,,0.139,0.139,0.8089999999999999,,0.8089999999999999
"kras$\Delta$, no DNAdam, 0/0",36,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,,1.0,,,,,1.0,,,0.811,1.0,,0.08,0.08,1.0,,1.0
"kras$\Delta$, DNAdam, 0/0",36,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,0.0015,1.0,0.0015,,,,1.0,0.0015,0.0015,0.8554999999999999,1.0,0.0015,0.0075,0.006,1.0,0.0015,1.0
"kras$\Delta$, DNAdam, chek1i/0",36,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,0.0045000000000000005,0.9999999999999998,0.005,0.0165,0.0165,0.0165,,0.0045000000000000005,0.0045000000000000005,0.8565,0.9999999999999998,0.0045000000000000005,0.025,0.02,0.9999999999999998,0.0045000000000000005,0.9999999999999998
"kras$\Delta$, DNAdam, 0/mk2i",36,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,0.0015,1.0,0.0015,,,,1.0,0.0015,0.0015,0.8594999999999999,1.0,,0.007,0.0055,1.0,0.0015,1.0
"kras$\Delta$, DNAdam, chek1i/mk2i",36,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,0.003,0.9999999999999999,0.003,0.0455,0.0455,0.0455,,0.003,0.003,0.857,0.9999999999999999,,0.0485,0.0455,0.9999999999999999,0.003,0.9999999999999999
"wt, no DNAdam",37,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,,0.7945,,0.1405,0.1405,0.1405,0.7945,,,0.7945,0.7945,,0.15300000000000002,0.15300000000000002,0.7945,,0.7945
