chek1i,mk2i,etoposide,treatment,cell_line,expertype,time,variable,value,log2_scaled_value,scaled_value,scaled_value_no_etop,scaled_value_no_etop_across_samples,trunc_variable
0,0,0,DMSO,HCT116,facs,72,Cleaved_Caspase_3_72h,4.41,NA,NA,NA,NA,Cleaved
0.5,0,0,0.5µM Chk1i,HCT116,facs,72,Cleaved_Caspase_3_72h,14.3,NA,NA,NA,NA,Cleaved
1,0,0,1µM Chk1i,HCT116,facs,72,Cleaved_Caspase_3_72h,37.1,NA,NA,NA,NA,Cleaved
0,2.5,0,2.5µM Mk2i,HCT116,facs,72,Cleaved_Caspase_3_72h,3.59,NA,NA,NA,NA,Cleaved
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,HCT116,facs,72,Cleaved_Caspase_3_72h,31.3,NA,NA,NA,NA,Cleaved
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,HCT116,facs,72,Cleaved_Caspase_3_72h,38.5,NA,NA,NA,NA,Cleaved
0,0,0,DMSO,SW620,facs,72,Cleaved_Caspase_3_72h,0.24,NA,NA,NA,NA,Cleaved
0.5,0,0,0.5µM Chk1i,SW620,facs,72,Cleaved_Caspase_3_72h,1.21,NA,NA,NA,NA,Cleaved
1,0,0,1µM Chk1i,SW620,facs,72,Cleaved_Caspase_3_72h,5.07,NA,NA,NA,NA,Cleaved
0,2.5,0,2.5µM Mk2i,SW620,facs,72,Cleaved_Caspase_3_72h,0.95,NA,NA,NA,NA,Cleaved
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,SW620,facs,72,Cleaved_Caspase_3_72h,2.21,NA,NA,NA,NA,Cleaved
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,SW620,facs,72,Cleaved_Caspase_3_72h,17.5,NA,NA,NA,NA,Cleaved
0,0,0,DMSO,SW948,facs,72,Cleaved_Caspase_3_72h,13.8,NA,NA,NA,NA,Cleaved
0.5,0,0,0.5µM Chk1i,SW948,facs,72,Cleaved_Caspase_3_72h,13.8,NA,NA,NA,NA,Cleaved
1,0,0,1µM Chk1i,SW948,facs,72,Cleaved_Caspase_3_72h,28.9,NA,NA,NA,NA,Cleaved
0,2.5,0,2.5µM Mk2i,SW948,facs,72,Cleaved_Caspase_3_72h,12.9,NA,NA,NA,NA,Cleaved
