chek1i,mk2i,etoposide,treatment,cell_line,expertype,time,variable,value
1,0,0,1µM Chk1i,SW948,facs,48,pHistone_H3_48h,3.26
0,2.5,0,2.5µM Mk2i,SW948,facs,48,pHistone_H3_48h,2.48
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,SW948,facs,48,pHistone_H3_48h,2.73
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,SW948,facs,48,pHistone_H3_48h,2.79
0,0,42,42µM etoposide (2h),SW948,facs,48,pHistone_H3_48h,NA
0,0,0,DMSO,HCT116,facs,72,pHistone_H3_72h,2.25
0.5,0,0,0.5µM Chk1i,HCT116,facs,72,pHistone_H3_72h,2.64
1,0,0,1µM Chk1i,HCT116,facs,72,pHistone_H3_72h,1.05
0,2.5,0,2.5µM Mk2i,HCT116,facs,72,pHistone_H3_72h,2.6
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,HCT116,facs,72,pHistone_H3_72h,0.44
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,HCT116,facs,72,pHistone_H3_72h,0.21
0,0,42,42µM etoposide (2h),HCT116,facs,72,pHistone_H3_72h,1.59
0,0,0,DMSO,SW620,facs,72,pHistone_H3_72h,2.22
0.5,0,0,0.5µM Chk1i,SW620,facs,72,pHistone_H3_72h,2.81
1,0,0,1µM Chk1i,SW620,facs,72,pHistone_H3_72h,3.08
0,2.5,0,2.5µM Mk2i,SW620,facs,72,pHistone_H3_72h,2.59
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,SW620,facs,72,pHistone_H3_72h,3.82
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,SW620,facs,72,pHistone_H3_72h,3.9
0,0,42,42µM etoposide (2h),SW620,facs,72,pHistone_H3_72h,0.22
0,0,0,DMSO,SW948,facs,72,pHistone_H3_72h,3.88
0.5,0,0,0.5µM Chk1i,SW948,facs,72,pHistone_H3_72h,4.25
1,0,0,1µM Chk1i,SW948,facs,72,pHistone_H3_72h,3.66
0,2.5,0,2.5µM Mk2i,SW948,facs,72,pHistone_H3_72h,3.42
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,SW948,facs,72,pHistone_H3_72h,4.59
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,SW948,facs,72,pHistone_H3_72h,3.8
0,0,42,42µM etoposide (2h),SW948,facs,72,pHistone_H3_72h,1.73
0,0,0,DMSO,HCT116,facs,24,yH2AX_24h,6.9
0.5,0,0,0.5µM Chk1i,HCT116,facs,24,yH2AX_24h,16.6
1,0,0,1µM Chk1i,HCT116,facs,24,yH2AX_24h,17
0,2.5,0,2.5µM Mk2i,HCT116,facs,24,yH2AX_24h,3.02
